,bundle,Cognitive-ScaledScore_set1,ReceptiveCom-ScaledScore_set1,ExpressiveCom-ScaledScore_set1,FineMotor-ScaledScore_set1,GrossMotor-ScaledScore_set1,Cognitive-ScaledScore_set2,ReceptiveCom-ScaledScore_set2,ExpressiveCom-ScaledScore_set2,FineMotor-ScaledScore_set2,GrossMotor-ScaledScore_set2,Cognitive-ScaledScore_set3,ReceptiveCom-ScaledScore_set3,ExpressiveCom-ScaledScore_set3,FineMotor-ScaledScore_set3,GrossMotor-ScaledScore_set3
0,M1-Brainstem,0.970605633802817,0.970605633802817,0.8246249999999999,0.9384617647058824,0.970605633802817,0.970605633802817,0.970605633802817,0.8408365384615385,0.970605633802817,0.970605633802817,0.0135,0.08671153846153846,0.14231249999999998,0.0135,0.970605633802817
1,S1-Brainstem,0.970605633802817,0.970605633802817,0.4760357142857143,0.970605633802817,0.9614831460674157,0.9774121621621622,0.970605633802817,0.4071375,0.970605633802817,0.8866406249999998,0.139875,0.18683333333333332,0.55155,0.08671153846153846,0.970605633802817
2,Paracentral-Brainstem,0.970605633802817,0.970605633802817,0.4243170731707317,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.55155,0.970605633802817,0.970605633802817,0.0198,0.20235,0.18216346153846155,0.0135,0.970605633802817
3,M1-Caud,0.970605633802817,0.8408365384615385,0.970605633802817,0.970605633802817,0.595733606557377,0.970605633802817,0.970605633802817,0.9384617647058824,0.970605633802817,0.9614831460674157,0.6851417910447762,0.970605633802817,0.970605633802817,0.48308333333333336,0.970605633802817
4,S1-Caud,0.9774121621621622,0.970605633802817,0.4760357142857143,0.9774121621621622,0.970605633802817,0.970605633802817,0.970605633802817,0.36189473684210527,0.970605633802817,0.970605633802817,0.29521323529411764,0.970605633802817,0.970605633802817,0.55155,0.970605633802817
5,Paracentral-Caud,0.48308333333333336,0.970605633802817,0.8926737804878049,0.45209302325581396,0.970605633802817,0.7708178571428571,0.98171,0.9614831460674157,0.6641590909090909,0.970605633802817,0.45435000000000003,0.36189473684210527,0.48308333333333336,0.28070454545454543,0.9774121621621622
6,M1-Lenti,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.1985625,0.139875,0.3136875,0.0405,0.970605633802817
7,S1-Lenti,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.123328125,0.17865,0.45209302325581396,0.08574999999999999,0.970605633802817
8,Paracentral-Lenti,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.20235,0.17865,0.29796428571428574,0.0405,0.970605633802817
9,M1-Thalfus,0.9774121621621622,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.8408365384615385,0.14231249999999998,0.2520703125,0.55155,0.08574999999999999,0.970605633802817
10,S1-Thalfus,0.970605633802817,0.970605633802817,0.6159642857142857,0.98171,0.9384617647058824,0.970605633802817,0.970605633802817,0.48308333333333336,0.970605633802817,0.7708178571428571,0.45435000000000003,0.8408365384615385,0.970605633802817,0.17865,0.48308333333333336
11,Paracentral-Thalfus,0.6064112903225807,0.970605633802817,0.7784366197183099,0.8926737804878049,0.970605633802817,0.9614831460674157,0.9774121621621622,0.970605633802817,0.970605633802817,0.970605633802817,0.4760357142857143,0.5124681818181818,0.7708178571428571,0.10305,0.970605633802817
12,M1L-M1R,0.4071375,0.970605633802817,0.624515625,0.55155,0.970605633802817,0.6641590909090909,0.970605633802817,0.8347500000000001,0.8866406249999998,0.970605633802817,0.17865,0.15771428571428572,0.24510483870967742,0.08671153846153846,0.970605633802817
13,S1L-S1R,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.9774121621621622,0.970605633802817,0.970605633802817,0.98171,0.970605633802817,0.9774121621621622,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817
14,S1-M1,0.970605633802817,0.970605633802817,0.8408365384615385,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.970605633802817,0.9774121621621622,0.970605633802817,0.08671153846153846,0.10157142857142858,0.4760357142857143,0.0135,0.970605633802817
